movie_id,subtitle_id,movie_name,release_year,decade,context,lexicon_word_list
1,810,Toy Story,1995-10-30,1990.0,"[2653.776 - 2658.405] Where are your rebel friends now?
(SINISTER CHUCKLE)
[2658.489 - 2659.99] SID'S MOM:
Sid, your Pop Tarts are ready!
[2660.074 - 2661.658] All right!
[2662.91 - 2665.62] -(SIZZLING CONTINUES)
-(SCREAMING)
[2669.917 - 2673.378] (GRUNTING)
[2673.463 - 2676.006] Are you all right?
I'm proud of you, Sheriff.
[2676.09 - 2678.758] A lesser man would've talked
under such torture.
[2679.51 - 2681.803] I sure hope this isn't permanent.
[2681.888 - 2685.14] Still no word from Star Command.
We're not that far from the space port.
[2685.224 - 2687.684] The door. It's open!
We're free!
[2687.768 - 2688.894] Woody, we don't know what's out there!",['proud']
3,3500,GoldenEye,1995-11-16,1990.0,"[3044.583 - 3046.835] HUNTING.
[3046.918 - 3049.387] RIGHT. NOW PAY ATTENTION, O07.
[3049.713 - 3051.465] FIRST, YOUR NEW CAR.
[3051.632 - 3056.137] BMW. AGILE, FIVE FORWARD GEARS,
ALL-POINTS RADAR.
[3056.719 - 3061.851] SELF-DESTRUCT SYSTEM. AND, NATURALLY,
ALL THE USUAL REFINEMENTS.
[3062.059 - 3065.563] NOW, THIS I'M PARTICULARLY PROUD OF.
[3065.771 - 3068.57] BEHIND THE HEADLIGHTS, STINGER MISSILES.
[3069.065 - 3072.32] EXCELLENT. JUST THE THING
FOR UNWINDING AFTER A ROUGH DAY.
[3072.402 - 3079.081] NEED I REMIND YOU, O07, THAT YOU HAVE
A LICENSE TO KILL, NOT BREAK THE TRAFFIC LAWS.
[3080.327 - 3082.204] - I WOULDN'T THINK OF IT.
- GOOD.
[3082.288 - 3085.336] RIGHT. LET'S GET ON
TO MORE PRACTICAL MATTERS.",['proud']
3,3588,GoldenEye,1995-11-16,1990.0,"[3587.208 - 3592.431] ONLY THREE MEN I KNOW USE SUCH A GUN.
I BELIEVE I'VE KILLED TWO OF THEM.
[3592.505 - 3596.385] - LUCKY ME.
- I THINK NOT.
[3597.052 - 3600.056] <i>OOH-AHH</i>
[3600.137 - 3602.731] AND IF YOU LOVE HIM
[3602.807 - 3603.98] <i>LOVE HIM</i>
[3604.059 - 3607.028] <i>OH, BE SO PROUD OF HIM</i>
[3607.103 - 3608.195] <i>OF HIM</i>
[3608.271 - 3610.989] <i>COS AFTER ALL</i>
[3611.065 - 3613.568] <i>HE'S JUST A MAN</i>
[3616.362 - 3618.786] <i>STAND BY YOUR MAN...</i>
[3621.909 - 3624.003] JAMES BOND.",['proud']
3,3676,GoldenEye,1995-11-16,1990.0,"[4171.708 - 4175.634] HOW DID THE MI6 SCREENING MISS
THAT YOUR PARENTS WERE LIENZ COSSACKS?
[4175.712 - 4179.387] ONCE AGAIN, YOUR FAITH
IS MISPLACED. THEY KNEW.
[4179.466 - 4181.845] WE'RE BOTH ORPHANS, JAMES.
[4182.261 - 4186.185] BUT WHERE YOUR PARENTS HAD THE LUXURY
OF DYING IN A CLIMBING ACCIDENT,
[4186.265 - 4189.734] MINE SURVIVED THE BRITISH BETRAYAL
AND STALIN'S EXECUTION SQUADS.
[4191.186 - 4195.067] BUT MY FATHER COULDN'T LET HIMSELF
OR MY MOTHER LIVE WITH THE SHAME OF IT.
[4196.65 - 4199.369] MI6 FIGURED I WAS TOO YOUNG TO REMEMBER.
[4200.238 - 4202.536] AND IN ONE OF LIFE'S LITTLE IRONIES,
[4202.823 - 4205.918] THE SON WENT TO WORK FOR
THE GOVERNMENT WHOSE BETRAYAL
[4206.202 - 4209.706] CAUSED THE FATHER TO KILL
HIMSELF AND HIS WIFE.
[4209.788 - 4215.171] HENCE JANUS, THE TWO-FACED
ROMAN GOD, COME TO LIFE.",['shame']
4,4272,Leaving Las Vegas,1995-10-27,1990.0,"[1483.168 - 1486.66] I walked into the room,
and he was lying on the bed.
[1486.738 - 1490.003] He had his arms
behind his head...
[1490.075 - 1493.511] and there was
just hair everywhere.
[1493.578 - 1496.376] He was really, really fat.
[1496.448 - 1498.78] He had a large erection.
[1498.85 - 1503.48] I remember he was so proud
of his large erection.
[1507.325 - 1511.659] I asked him where my money was,
and he pointed to the dresser.
[1511.73 - 1514.494] And then I asked him
what he wanted...
[1514.566 - 1519.97] and he said,
""Lie down, I'm on top.""
[1520.038 - 1525.476] He started pounding me
really hard.
[1526.711 - 1530.647] I had to bite my tongue
to keep from crying.",['proud']
7,7692,Dead Man Walking,1995-12-29,1990.0,"[1209.958 - 1214.295] She should have the opportunity
to speak for her child.
[1214.463 - 1215.755] She's just gonna blubber her head off.
[1215.923 - 1219.133] Yeah, well, she has
the right to do that.
[1222.012 - 1225.932] What if you die and she hasn't
had a chance to speak for you?
[1227.1 - 1231.145] Don't you think it'll always eat at her,
wonderin' if she could have saved you?
[1237.861 - 1240.78] I'll think about it, but I got my pride.
[1240.948 - 1245.034] I ain't gonna kiss ass in front of these
people. I ain't gonna kiss nobody's ass.
[1247.788 - 1249.789] (♪ ""This is the Day the Lord Has Made"")
[1256.046 - 1259.84] - What are you making, Kenitra?
- An Easter card for my mama.
[1265.681 - 1268.349] ♪ I will rejoice
[1268.517 - 1272.979] ♪ I will rejoice and be glad in him",['pride']
7,8085,Dead Man Walking,1995-12-29,1990.0,"[2948.904 - 2954.909] They found the kids' bodies on Friday,
six days after they'd gone missin'.
[2956.828 - 2962.541] My daughter's body
was nude, legs spread-eagled.
[2963.293 - 2967.755] The coroner's report said that
her vagina was all tore up.
[2969.716 - 2972.635] At first they couldn't find
this class pin she was wearin'
[2972.803 - 2977.223] cos it was embedded so deep
from the stabbin'.
[2978.725 - 2983.896] She loved that pin. She was so proud
of it. She wore it all the time.
[2984.064 - 2988.567] It said ""Class of '88.
Making a difference.""
[2990.07 - 2993.197] The police wouldn't
let us identify the body.
[2993.365 - 2996.158] They said it would be too traumatic.
[2996.326 - 3002.123] I just couldn't bear the thought
of them buryin' that body
[3002.29 - 3006.919] without makin' absolutely and
positively sure that that was Hope.",['proud']
9,10467,Clueless,1995-07-19,1990.0,"[1211.669 - 1213.837] What'd you do,
turn in some extra-credit reports?
[1213.921 - 1214.963] No.
[1215.339 - 1217.549] Did you take the midterms over?
[1219.677 - 1222.22] You mean to tell me
that you argued your way
[1222.305 - 1224.89] from a C+ to an A-?
[1225.141 - 1228.101] Totally based on my
powers of persuasion. Are you proud?
[1228.185 - 1232.355] Honey, l couldn't be happier
than if they were based on real grades.
[1234.483 - 1235.734] -Fabulous.
-Thank you.
[1239.03 - 1242.824] I felt so satisfied,
I wanted to do more good deeds.
[1245.995 - 1249.539] De, when your allergies act up,
take out your nose ring.
[1249.79 - 1252.334] Follow through. There you go.",['proud']
9,11596,Clueless,1995-07-19,1990.0,"[5122.367 - 5124.535] -Hi.
-Hi.
[5124.828 - 5126.871] Cher, can l talk to you a minute?
[5127.331 - 5128.581] Sure.
[5128.999 - 5131.292] l have been in agony the past week
[5131.376 - 5133.836] and l can't even believe
that l went off the way l did.
[5133.921 - 5136.422] No, l have been going down
a shame spiral.
[5136.507 - 5139.967] l cannot even believe l was so
unsupportive of your feelings for Josh.
[5140.052 - 5142.47] No, you are entitled to your own opinion,
all right?
[5142.554 - 5143.971] l'm the tard here.
[5144.056 - 5146.557] Cher, you've been nothing
but super-duper nice to me.
[5146.642 - 5148.226] Not even. lf it wasn't for me",['shame']
11,12933,Se7en,1995-09-22,1990.0,"[1418.586 - 1420.587] This was found
behind the same refrigerator.
[1421.088 - 1422.882] Written in grease.
[1423.048 - 1425.759] There are seven deadly sins,
captain.
[1425.926 - 1427.595] Gluttony.
[1429.888 - 1431.516] Greed.
[1433.183 - 1436.98] Sloth, wrath, pride, lust...
[1438.355 - 1439.857] ...and envy.
[1440.316 - 1442.234] Seven.
Hold on.
[1442.527 - 1444.612] This is not even my desk.
[1445.738 - 1447.781] You can expect five more of these.
[1449.576 - 1450.617] Now, wait a minute.",['pride']
11,13117,Se7en,1995-09-22,1990.0,"[2373.956 - 2376.168] You read them?
Yeah.
[2376.335 - 2379.42] Well, parts.
Hey, remember in, uh, Purgatory?
[2379.588 - 2381.965] Dante and his buddy,
they're climbing up the hill...
[2382.132 - 2384.3] ...they're checking out
all the sinners, yeah?
[2384.467 - 2387.762] Yeah, the seven terraces of purgation.
Yeah, yeah, right.
[2387.929 - 2391.182] But there, pride comes first,
not gluttony.
[2391.349 - 2395.353] Yeah, well, for now, let's just consider
that the books were the killer's inspiration.
[2395.521 - 2398.981] The sermons
were about atonement for sin.
[2399.233 - 2401.275] These murders are
like forced attrition.
[2401.985 - 2404.028] Forced what?
Attrition.
[2404.195 - 2406.989] It's when you regret your sins,
but not because you love God.",['pride']
11,14116,Se7en,1995-09-22,1990.0,"[6967.546 - 6969.047] I'm gonna open it.
[6969.215 - 6973.094] When I said I admired you,
I meant what I said.
[6991.737 - 6992.822] It's blood.
[6992.988 - 6994.739] You've made
quite a life for yourself.
[6994.907 - 6995.949] Hmm.
[6996.117 - 6999.244] You should be very proud.
Shut the fuck up, you piece of shit.
[7012.925 - 7014.342] <i>Someone lost contact, copy.</i>
[7026.939 - 7028.399] California,
stay away from here.
[7028.565 - 7031.027] Stay away from here, now.
Don't come in here.
[7031.484 - 7033.194] <i>Whatever you hear,
stay away.</i>
[7034.404 - 7037.49] John Doe has the upper hand.
Mills!",['proud']
12,14332,Pocahontas,1995-06-14,1990.0,"[679.22 - 683.69] Pocahontas, come with me.
You are the daughter
of the chief.
[683.78 - 686.17] It is time to take your place
among our people.
[686.26 - 688.49] Even the wild mountain stream...
[688.58 - 690.73] must someday join the big river.
[690.82 - 695.02] As the river cuts his path
[695.1 - 699.49] Though the river's
proud and strong
[699.58 - 704.13] He will choose
the smoothest course
[704.22 - 707.5] That's why rivers live so long.
[707.58 - 710.18] They're steady
[710.26 - 714.22] As the steady beating drum
[714.3 - 717.21] Your mother wore this
for our wedding.",['proud']
